Elementos,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
83,0.002853,0.004831,0.006153,0.009373,0.010899,0.013739,0.017405,0.022674,0.024182,0.028988
84,0.002682,0.004419,0.005826,0.008195,0.010282,0.014103,0.017063,0.020462,0.022675,0.029427
85,0.002542,0.004255,0.005585,0.007538,0.010828,0.013668,0.016574,0.019224,0.024188,0.030699
86,0.002805,0.00374,0.005998,0.007813,0.009925,0.011572,0.01415,0.019241,0.020452,0.023596
87,0.002632,0.003585,0.005655,0.006706,0.009594,0.010806,0.013293,0.01802,0.019261,0.023313
88,0.002487,0.003296,0.005288,0.006343,0.008907,0.010022,0.013704,0.017023,0.017566,0.023013
89,0.00212,0.003025,0.00496,0.00571,0.007769,0.00933,0.011733,0.014851,0.016293,0.020947
90,0.001903,0.002841,0.003958,0.006137,0.00726,0.009742,0.011605,0.012638,0.01716,0.019077
91,0.001683,0.00284,0.003686,0.00487,0.006227,0.009057,0.009684,0.013351,0.013698,0.020983
92,0.00165,0.002372,0.003273,0.005111,0.006224,0.00713,0.009985,0.010493,0.01297,0.015716
93,0.0014,0.002122,0.002956,0.004583,0.005864,0.00628,0.00848,0.009241,0.010941,0.030329
94,0.001379,0.002189,0.002618,0.003913,0.004562,0.006458,0.007834,0.008128,0.010563,0.013973
95,0.001289,0.001653,0.002317,0.003007,0.003935,0.004767,0.006877,0.007175,0.008997,0.012994
96,0.00096,0.001647,0.001956,0.002971,0.003292,0.004457,0.004875,0.006203,0.006804,0.009209
97,0.000793,0.0012,0.001616,0.002083,0.002633,0.003218,0.004215,0.004739,0.00629,0.00716
98,0.000768,0.000921,0.001208,0.001596,0.00231,0.002403,0.002878,0.003383,0.003939,0.005245
99,0.00049,0.000701,0.000989,0.001096,0.001585,0.001588,0.001888,0.002232,0.003118,0.003525
100,0.000317,0.000442,0.000627,0.000594,0.000721,0.00081,0.000956,0.001001,0.001123,0.001525
